Feature ID	RPKM1	RPKM2	COG Category
NCRNA00108 (NC_000024 120410..122713)	0	0	TK
PLCXD1 (NC_000024 142990..170023)	24.09615964	28.47922485	MR
GTPBP6 (NC_000024 171425..180887)	6.551407159	4.418474221	JA
PPP2R3B-AS1 (NC_000024 231384..232067)	0	0	K
PPP2R3B (NC_000024 244667..297690)	2.352261129	2.440725278	KB
SHOX (NC_000024 535078..570146)	0.005957367	0.002988138	KD
LOC100652729	0	0	KH
LOC100418703 (NC_000024 1177561..1178938)	0	0	KLB
CRLF2 (NC_000024 1264868..1281529)	0	0	QP
CSF2RA (NC_000024 1337692..1378828)	0	0.005700609	MR
MIR3690 (NC_000024 1362810..1362885)	0	0	PT
IL3RA (NC_000024 1405508..1451582)	0.022909733	0.030643272	PR
SLC25A6 (NC_000024 1455044..1461039)	63.81441407	73.31232564	QR
LOC100293744 (NC_000024 1458147..1461004)	0	0	NUO
ASMTL-AS1 (NC_000024 1469423..1484314)	0	0	NO
ASMTL (NC_000024 1472031..1522655)	3.491069255	3.111105983	YU
P2RY8 (NC_000024 1531464..1606037)	0.003083482	0.00927981	Y
AKAP17A (NC_000024 1660485..1671413)	7.928694752	5.872554045	H
ASMT (NC_000024 1664347..1711974)	0.064418489	0.027695558	YU
DHRSX (NC_000024 2087546..2369015)	4.302175901	3.970158781	HR
ZBED1 (NC_000024 2354454..2369008)	0.391287998	0.342772709	MJ
CD99P1 (NC_000024 2477305..2525270)	0	0	R
NCRNA00102 (NC_000024 2481031..2483388)	0	0	NOU
CD99 (NC_000024 2559227..2609350)	62.24187495	64.8539964	EP
XGPY2	0	0	OU
SRY	0	0	EH
RNASEH2CP1	0	0	PE
TOMM22P2	0	0	GR
RPS4Y1	0	0	TDBLU
HSFY3P	0	0	EH
NAP1L1P2	0	0	NOU
ZFY	0.00232524	0.011663104	MNO
LOC100506003	0	0	FH
AGPAT5P1	0	0	UW
PRRC2CP1	0	0	ER
TGIF2LY	0	0	DR
USP12PY	0	0	EQ
RNF19BPY	0	0	NU
LOC100419723	0	0	MI
LOC100533723	0	0	TDK
UBE2V1P3	0	0	S
SERBP1P2	0	0	EP
PCDH11Y	0.001222138	0	FP
VDAC1P6	0	0	TG
EIF4A1P2	0	0	OD
KRT18P10	0	0	MR
RPL26P37	0	0	TZDR
TUSC2P1	0	0	MR
DLGAP5P1	0	0	OT
TTTY23B	0	0	RTKL
TSPY2	0	0	GE
FAM197Y9	0	0	MI
TSPY11P	0	0	CP
TSPY19P	0	0	H
RBMY2GP	0	0	LDA
TTTY1B	0	0	MI
TTTY2B	0	0	EQ
TTTY21B	0	0	KE
TTTY7	0	0	LR
TTTY8B	0	0	QC
TSPY17P	0	0	Q
GOT2P5	0	0	MG
AMELY	0	0	I
ATP5JP1	0	0	BD
TBL1Y	0.021700952	0.016327377	QC
FAM199YP	0	0	GC
GPR143P	0	0	J
PRKY	0	0	FE
RBMY2HP	0	0	KL
TSPY12P	0	0	BQ
TTTY16	0	0	HE
RFTN1P1	0	0	K
TTTY12	0	0	TD
TRIM60P1Y	0	0	K
ZNF92P1Y	0	0	KG
TRIM60P2Y	0	0	CE
ZNF736P8Y	0	0	OTK
ZNF736P7Y	0	0	TK
ZNF736P9Y	0	0	DKT
RBMY2JP	0	0	TK
FAM8A7P	0	0	KB
RBMY2KP	0	0	IQR
ZNF736P6Y	0	0	QK
MTND6P1	0	0	HC
MTCYBP1	0	0	M
MTND1P1	0	0	QP
TRNAQ35P	0	0	QR
MTND2P3	0	0	JA
TRIM60P3Y	0	0	HQ
ZNF736P10Y	0	0	NUO
TTTY18	0	0	GEPR
TTTY19	0	0	UR
TTTY11	0	0	FE
RBMY2MP	0	0	ER
OFD1P3Y	0	0	KAD
CDY3P	0	0	BD
USP9YP4	0	0	BK
TCEB1P4	0	0	GEPR
RBMY1A3P	0	0	MR
RBMY1GP	0	0	JO
TTTY20	0	0	T
TSPY4	0	0	LD
FAM197Y8	0	0	RTKL
TSPY8	0	0	OZ
FAM197Y7	0	0	NU
TSPY7P	0	0	FGR
FAM197Y6	0	0	K
TSPY3	0	0	EG
FAM197Y5	0	0	M
TSPY1	0	0	UNTP
FAM197Y4	0	0	QP
TSPY9	0	0	KL
FAM197Y3	0	0	I
TSPY6P	0	0	KNU
FAM197Y2P	0	0	NO
TSPY10	0	0	T
FAM197Y1	0	0	LD
TSPY15P	0	0	KR
RBMY3AP	0	0	NU
TSPY16P	0	0	TDK
TTTY8	0	0	NO
TTTY7B	0	0	TG
TTTY21	0	0	KT
TTTY2	0	0	HJ
TTTY1	0	0	OD
TTTY22	0	0	MJ
RBMY2NP	0	0	LK
TSPY18P	0	0	PR
TSPY13P	0	0	OK
TTTY23	0	0	KLB
RBMY2OP	0	0	KAD
RBMY2QP	0	0	QR
TSPY20P	0	0	UI
TSPY5P	0	0	CH
MRP63P10	0	0	KAD
CDC27P2	0	0	OK
RN18S2P	0	0	TDK
C2orf27AP1	0	0	MR
LOC100419952	0	0	IQ
FAM201C	0	0	LU
TEKT4P1	0	0	CH
ANKRD57P1	0	0	D
NCRNA00268-2P	0	0	PH
ANKRD20A6P	0	0	OD
SNX18P1Y	0	0	KLB
DUX4L16	0	0	FH
DUX4L17	0	0	K
DUX4L18	0	0	GM
DUX4L19	0	0	OC
PABPC1P5	0	0	TDBLU
NHEDC1P1	0	0	NUO
ACTR3BP1	0	0	GO
CHEK2L1	0	0	LK
LOC100652986	0	0	HC
RCC2P1	0	0	TG
ASS1P6	0	0	TG
MXRA5P1	0	0	DKT
RPS24P1	0	0	I
ARSFP1	0	0	YU
FAM8A4P	0	0	OTK
ARSEP1	0	0	LD
ARSDP1	0	0	BK
GYG2P1	0	0	TK
XGPY	0	0	JD
SHROOM2P1	0	0	BQ
MED14P1	0	0	LK
TTTY15	0	0	OC
USP9Y	0.018209131	0	P
CDY4P	0	0	HJ
